region,population
State,4761865
Carlow,56932
Dublin,1347359
Kildare,222504
Kilkenny,99232
Laois,84697
Longford,40873
Louth,128884
Meath,195044
Offaly,77961
Westmeath,88770
Wexford,149722
Wicklow,142425
Clare,118817
Cork,542868
Kerry,147707
Limerick,194899
Tipperary,159553
Waterford,116176
Galway,258058
Leitrim,32044
Mayo,130507
Roscommon,64544
Sligo,65535
Cavan,76176
Donegal,159192
Monaghan,61386
